"id","title","year","region","language","director","type","actor","date","rate","rating_num","runtime","url"
"34865507","小人物 Nobody","2021","美国 / 日本","西班牙语 / 俄语 / 英语","伊利亚·奈舒勒","动作,犯罪","鲍勃·奥登科克,阿列克谢·谢列布里亚科夫,康妮·尼尔森,克里斯托弗·洛伊德,迈克尔·艾恩塞德,科林·萨蒙,罗伯特·菲茨杰拉德·迪格斯,比利·麦克莱伦,阿拉亚·门格沙,盖奇·芒罗,佩斯利·卡多拉思,亚历山大·帕里,亨伯利·冈萨雷斯,爱德森·莫拉莱斯,J·P·马诺克斯,伊利亚·奈舒勒,谢尔盖·希纳罗维,斯蒂芬妮·西,鲁斯兰·鲁辛,Bj·韦罗,达雅·查库莎,亚当·哈蒂格,克里斯汀·哈里斯,埃里克·阿塔瓦尔,沙龙·巴杰,鲍里斯·古利亚林,丹尼尔·伯哈特,阿兰·莫西,泰瑞·威瑟斯庞,吉姆·科比","2021-03-26(美国)","7.8","137792","92分钟","https://movie.douban.com/subject/34865507/"
"34868338","蟑潮","2020","中国大陆","汉语普通话","崔炎龙","科幻,灾难","金珈,江易轩,纪亚文,徐少武,贾舒夷,吕宇,郑小毛,姿娜","2020-11-27(中国大陆)","3.8","1142","","https://movie.douban.com/subject/34868338/"
"34869125","461个便当 461個のおべんとう","2020","日本","日语","兼重淳","家庭","井之原快彦,道枝骏佑,森七菜,若林时英,阿部纯子,映美藏良,野间口彻,KREVA,やついいちろう,坂井真纪,倍赏千惠子","2020-11-06(日本)","7.0","1660","","https://movie.douban.com/subject/34869125/"
"34869139","灵魂 Roh","2019","马来西亚","马来语","Emir Ezwan","剧情,恐怖","Farah Ahmad,Mhia Farhana,南农","2019-11-22(新加坡国际电影节)","6.5","191","82分钟","https://movie.douban.com/subject/34869139/"
"34869362","温暖的抱抱","2020","中国大陆","汉语普通话","常远","喜剧","常远,李沁,沈腾,乔杉,马丽,艾伦,田雨,王智,魏翔,王宁,黄才伦,张一鸣,王成思,张子栋,陈昊明,吴莫愁","2020-12-31(中国大陆)","5.2","167638","112分钟","https://movie.douban.com/subject/34869362/"
"34869387","女人的碎片 Pieces of a Woman","2020","加拿大 / 匈牙利 / 美国","英语","凯内尔·穆德卢佐","剧情","凡妮莎·柯比,希亚·拉博夫,艾伦·伯斯汀,埃莱扎·施莱辛格,本·萨弗迪,莎拉·斯努克,莫莉·帕克,史蒂文·麦卡锡,蒂龙·本斯金,弗兰克·萧宾,哈里·斯坦德乔夫斯基,多梅尼克·迪罗萨,吉米·费尔斯,朱丽叶特·卡萨格兰德,盖尔·加芬克尔,肖恩·塔克,埃里克·戴维斯","2020-09-05(威尼斯电影节)","7.7","24964","128分钟","https://movie.douban.com/subject/34869387/"
"34869441","超新星 Supernova","2020","英国","英语","哈里·麦昆","爱情,同性","科林·费尔斯,斯坦利·图齐,皮帕·海伍德,彼得·麦昆,妮娜·马林,伊恩·德赖斯代尔,莎拉·伍德沃德,詹姆斯·德雷福斯,洛丽·坎贝尔,丹妮卡·埃切尔斯,哈勒玛·侯赛因,朱莉·汉南,约翰·艾伦·罗伯茨","2020-09-24(圣塞巴斯蒂安电影节)","7.4","3918","95分钟","https://movie.douban.com/subject/34869441/"
"34869495","海边的异邦人 海辺のエトランゼ","2020","日本","日语","大桥明代","爱情,动画,同性","村田太志,松冈祯丞,岛村侑,伊藤加奈惠,仲谷明香,佐藤花,坂木孝辅,竹内惠美子,樱井优辉,稻川英里,鸣海龙明,橘龙丸,熊谷健太郎,仪武祐子,天海由梨奈,水野朔,上西哲平,白石兼斗,加藤涉","2020-09-11(日本)","7.4","10547","59分钟","https://movie.douban.com/subject/34869495/"
"34873745","算牌人 The Card Counter","2021","美国 / 英国 / 中国大陆 / 瑞典","英语","保罗·施拉德","剧情,惊悚,犯罪","奥斯卡·伊萨克,蒂凡尼·哈迪斯,泰伊·谢里丹,威廉·达福,亚历山大·巴巴拉,鲍比·C·金,叶卡捷琳娜·贝克,布莱恩·特朗,迪伦·弗拉施纳,刘晨芝,乔尔·迈克利,比利·斯洛特,约翰·希亚拉彻","2021-09-02(威尼斯电影节)","6.2","4026","111分钟","https://movie.douban.com/subject/34873745/"
"34874432","花束般的恋爱 花束みたいな恋をした","2021","日本","日语","土井裕泰","剧情,爱情","菅田将晖,有村架纯,细田佳央太,清原果耶,小田切让,押井守,户田惠子,岩松了,小林薰,韩英惠,中崎敏,小久保寿人,泷内公美,森优作,古川琴音,篠原悠伸,八木亚里纱,佐藤宽太,冈部崇,萩原实里,福山翔大,萩原利久,片山友希,宇野祥平,佐藤玲,水泽绅吾,穗志萌香","2022-02-22(中国大陆)","8.6","405239","124分钟","https://movie.douban.com/subject/34874432/"
"34874527","威利的游乐园 Willy's Wonderland","2021","美国","英语 / 西班牙语","凯文·刘易斯","动作,惊悚,恐怖","尼古拉斯·凯奇,艾米莉·托斯塔,贝丝·格兰特,里克·赖茨,克里斯·华纳,卡伊·卡德莱茨,凯丽‧考恩,乔纳森·梅赛德斯,特雷勒·希尔,克里斯蒂安·戴尔格罗索,杰西卡·格拉夫斯,泰勒·托尔里,格兰特·克雷默","2021-02-12(美国)","5.5","4149","88分钟","https://movie.douban.com/subject/34874527/"
"34875261","忠贞 Верность","2019","俄罗斯","俄语","尼吉娜·赛福莱娃","情色","叶夫根尼娅·格罗莫娃,亚历山大·帕里","2019-10-31(俄罗斯)","6.3","6131","82分钟","https://movie.douban.com/subject/34875261/"
"34875369","七号房的礼物 7. Koğuştaki Mucize","2019","土耳其","土耳其语","梅米特·艾达·厄兹泰金","剧情","阿拉斯·布鲁特·伊涅姆利,妮莎·索菲亚·阿克松古尔,德尼兹·贝萨尔,塞利尔·托扬·乌伊萨尔,伊尔卡·阿克苏穆,梅苏特·阿库斯塔,约达尔.奥库尔,萨尔普·阿克卡亚,Yildiray Sahinler,Deniz Celiloglu,Gulcin Kultur Sahin,Ferit Kaya,Cankat Aydos,Hayal Köseoglu,Dogukan Polat","2020-10-15(中国大陆)","7.6","39048","132分钟","https://movie.douban.com/subject/34875369/"
"34875588","真人快打传奇：蝎子的复仇 Mortal Kombat Legends: Scorpions Revenge","2020","美国","英语","伊桑·斯波尔丁","动作,动画,冒险","Grey Griffin,詹妮弗·卡朋特,乔尔·麦克哈尔,凯文·迈克尔·理查德森","2020-04-12(美国)","7.4","7149","80分钟","https://movie.douban.com/subject/34875588/"
"34875592","化学心脏 Chemical Hearts","2020","美国","英语","理查德·塔恩","剧情,爱情","丽丽·莱因哈特,奥斯汀·艾布拉姆斯,莎拉·琼斯,阿德希尔·卡尔安,布鲁斯·奥尔特曼,卡拉·杨,C.J.霍夫,罗伯特·克洛赫赛,梅格·吉普森,凯瑟琳·科廷,卡洛儿·佩尼亚,香农·沃尔什,乔恩·莱蒙,J.J. 派尔,Lan Zhong","2020-08-21(美国)","6.4","1227","93分钟","https://movie.douban.com/subject/34875592/"
"34879934","凯茜·马斯格雷夫斯圣诞秀 The Kacey Musgraves Christmas Show","2019","美国","英语","Chris Howe","音乐","Kacey Musgraves,拉娜德雷,特洛耶·希文,弗莱德·阿米森,佐伊·丹斯切尔,肯多尔·詹娜,詹姆斯·柯登,卡米拉·卡贝欧,丹·列维,里昂·布里奇斯,Louis Waymouth,The Radio City Rockettes,Barbara Musgraves","2019-11-29(美国)","8.4","74","45分钟","https://movie.douban.com/subject/34879934/"
"34880302","人潮汹涌","2021","中国大陆 / 中国香港","汉语普通话","饶晓志","喜剧,犯罪","刘德华,肖央,万茜,程怡,黄小蕾,国义骞,狄志杰,郭京飞,刘天佐,路阳,郭帆,刘浩良,饶晓志,雷佳音,史航,魏之皓,王学兵,林海,隋凯,卫莱,邵逸凡","2021-02-12(中国大陆)","6.5","371185","119分钟","https://movie.douban.com/subject/34880302/"
"34881663","门徒 The Protégé","2021","美国","英语","马丁·坎贝尔","动作,惊悚,犯罪","李美琪,迈克尔·基顿,塞缪尔·杰克逊,大卫·瑞托,帕特里克·麦拉海德,雷·费隆,奥利·普费弗,罗伯特·帕特里克,小弗洛林·皮尔斯齐,杜铎·奇里拉,沃利扎·比尼夫,乔治·皮斯特拉努,伊娃·努金·索森,亚历克斯·博尔达,塔尼娅·凯勒,塔伊·阿特沃尔,卡罗琳·朗奎,丽琪达·卡里,大卫·斯特恩,杰克·德格斯,唐·迈克尔·保罗","2021-08-20(美国)","5.7","5196","109分钟","https://movie.douban.com/subject/34881663/"
