Label,Weight电影,37649
故事,23141
剧情,17328
角色,7963
演员,7424
人物,7266
女主,7206
戏,6992
演技,6601
男主,6223
影片,6065
结尾,5792
观众,5702
星,5665
剧本,5495
节奏,5401
世界,5161
镜头,4887
结局,4489
题材,4461
情节,4385
动作,4166
主角,4137
版,3957
时间,3913
作品,3600
整体,3592
孩子,3528
女性,3503
地方,3381
情感,3364
爱情,3311
家庭,3269
逻辑,3259
现实,3246
画面,3186
台词,3166
风格,3113
本片,3097
编剧,3058
社会,3009
类型,2963
喜剧,2915
关系,2898
恐怖片,2839
套路,2834
音乐,2617
细节,2610
场面,2589
线,2573
人生,2560
场景,2536
小时,2509
烂片,2509
主题,2506
元素,2504
人类,2498
时代,2406
全片,2372
情绪,2351
精彩,2340
剪辑,2308
感情,2303
意义,2229
方式,2189
战争,2104
全程,2094
历史,2091
脸,2063
动画,2055
女儿,2046
父亲,2037
背景,2037
氛围,2024
事,2011
鬼,1946
男人,1940
科幻,1926
游戏,1923
政治,1915
老套,1885
过程,1884
视角,1870
空间,1867
女人,1841
观影,1793
内容,1776
亮点,1771
成,1756
母亲,1739
话,1732
浪费,1705
狗,1651
水平,1650
主演,1639
事件,1635
效果,1634
摄影,1625
钱,1624
整部,1601
儿子,1562
笑点,1545
文化,1544
人性,1538
电影院,1537
能力,1525
老师,1521
形象,1498
网,1495
想象,1487
男女,1480
女孩,1479
剧,1472
垃圾,1471
精神,1455
男,1454
妈妈,1435
朋友,1414
暴力,1405
心,1384
记忆,1383
颜值,1376
观感,1368
内心,1361
俗套,1357
印象,1353
桥段,1335
黑人,1326
程度,1315
名字,1315
样子,1300
新意,1300
铺垫,1285
经典,1275
杀人,1260
语言,1260
气质,1250
原著,1243
心理,1231
宇宙,1217
概念,1206
经历,1196
形式,1194
事情,1192
小孩,1180
艺术,1177
戏份,1176
梦,1172
豆瓣,1172
性,1170
评分,1166
味道,1158
身份,1158
成本,1148
歌,1147
恶心,1133
气氛,1132
结构,1131
太,1130
质感,1125
声音,1123
女主角,1117
体验,1111
水准,1110
少女,1103
视觉,1099
情怀,1096
手法,1091
技术,1091
状态,1085
彩蛋,1082
原因,1076
狗血,1076
传统,1074
小说,1070
环境,1066
妈,1063
力量,1057
总体,1056
地球,1053
男性,1047
电视剧,1045
动物,1045
電影,1042
爸爸,1040
角度,1030
刻画,1024
造型,1015
温情,1012
牛,999
影院,998
智商,995
兄弟,986
动作片,986
魅力,985
神,982
宗教,977
手,976
眼睛,968
部,967
无趣,965
感人,965
配音,964
国家,954
国产,946
小女孩,944
段落,943
身体,941
丧尸,936
灵魂,927
化,927
怪物,926
内核,904
命运,904
配角,901
动机,897
对话,896
银幕,895
调度,891
正义,885
爆米花,878
差点,877
意识,876
漫画,872
时刻,871
开场,868
儿童,865
主线,863
气,855
路,853
父母,850
亲情,846
表情,841
粉丝,837
色彩,836
主,832
典型,824
隐喻,824
姐姐,819
脑,817
剧场版,808
字幕,805
交代,804
剧作,803
动人,802
大片,799
男孩,794
质量,789
所有人,777
评论,777
商业,775
原版,772
男主角,771
处,768
画风,757
文戏,756
婚姻,755
代表,754
戏剧,754
文艺,746
出场,740
女,735
情,733
文本,732
表面,732
无脑,732
重点,730
本质,730
利用,729
变态,728
版本,725
灾难,725
风,722
核心,721
机器人,719
评价,715
合格,715
真人,712
水,712
科幻片,710
性格,706
看点,704
字,699
用心,699
外星人,699
票房,698
港片,697
大叔,695
格局,687
悬念,683
主旋律,682
梦想,682
妹妹,681
冗长,680
枪战,680
玩意,678
原本,667
标准,664
缺点,662
作,661
原作,658
模式,656
大陆,656
爱,655
情况,655
学生,654
妻子,654
机会,652
悲剧,650
太空,648
想象力,647
代入,646
头,646
浪费时间,644
猫,641
工具,640
幻想,640
证明,639
家人,639
网络,637
层面,634
眼泪,634
眼神,631
过瘾,631
童话,627
海报,626
前半部,624
关键,623
小朋友,622
年度,622
手机,620
舞台,618
长镜头,617
热血,617
现场,617
选角,613
卡司,612
老婆,605
弟弟,604
影子,603
客串,602
奇幻,598
商业片,598
作者,597
飞机,597
凶手,597
身材,596
丈夫,592
价值,586
恶魔,586
预告片,585
消失,581
弱智,581
时空,580
爱情片,580
美学,577
信仰,575
共情,574
美术,573
力,572
办法,570
音效,563
建议,561
讲故事,560
用力,559
纪录片,553
女权,551
战争片,548
玩意儿,546
能量,546
特色,544
怪兽,543
血浆,542
小时候,541
脑子,540
枪,535
价值观,533
无力,532
优点,530
勇气,529
黑色,528
困境,525
鸡汤,523
超能力,523
世纪,522
干嘛,522
渣,522
坏人,516
超人,509
理由,507
群体,507
电影节,507
人心,505
屎,502
年轻人,500
案件,500
团队,499
线索,499
友情,497
小品,496
态度,495
危机,494
痕迹,493
短片,493
狼,490
妹子,490
冒险,489
上帝,489
全场,488
太烂,487
回家,486
校园,485
公司,485
脑洞,484
小男孩,483
歌舞,483
僵尸,482
饰演,481
野心,479
院线,478
廉价,478
喜剧片,477
色调,475
空洞,474
底层,474
理想,470
公路,470
房子,467
硬伤,466
主人公,463
白人,463
光环,463
坑,458
公主,458
目的,456
广告,455
圣母,454
血,453
奶奶,453
风景,452
歌曲,452
一家人,452
大人,451
狗狗,450
视频,448
女神,445
女演员,445
老头,445
拍电影,445
沙雕,445
泪点,445
演戏,442
动画片,441
权力,441
美女,440
技巧,439
方向,438
老人,437
好人,437
尾,437
话题,436
时期,435
信,434
区别,434
思想,434
小孩子,434
女生,434
地狱,434
符号,433
励志,433
贡献,432
收尾,431
悬疑片,431
